"V1","V5","V6","V12","V13","V14"
"m.35063.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.40836.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.27485.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.16551.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.39094.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.4481.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.14949.p1","SSF54518","Tubby C-terminal domain-like","IPR025659","Tubby-like, C-terminal","-"
"m.16149.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.42974.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.6265.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.21056.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.7967.p1","PF00170","bZIP transcription factor","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.43614.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.727.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.14285.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.5859.p1","PF03153","Transcription factor IIA, alpha/beta subunit","IPR004855","Transcription factor IIA, alpha/beta subunit","GO:0005672|GO:0006367"
"m.8500.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.13164.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.19899.p1","SSF47794","Rad51 N-terminal domain-like","IPR010995","DNA repair Rad51/transcription factor NusA, alpha-helical","GO:0000166"
"m.42276.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.8938.p1","PF17682","Tau95 Triple barrel domain","IPR041499","Transcription factor IIIC subunit Tfc1/Sfc1, triple barrel domain","-"
"m.11158.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.39454.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.40682.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.459.p1","SSF47396","Transcription factor IIA (TFIIA), alpha-helical domain","-","-",""
"m.13394.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.20469.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.18784.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.42565.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.28515.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.9840.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.3452.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.7865.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.20653.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.8798.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.1164.p1","PF00178","Ets-domain","IPR000418","Ets domain","GO:0003700|GO:0006355|GO:0043565"
"m.14765.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.43563.p1","PF00808","Histone-like transcription factor (CBF/NF-Y) and archaeal histone","IPR003958","Transcription factor CBF/NF-Y/archaeal histone domain","-"
"m.16650.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.3054.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.13454.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.16504.p1","SSF55455","SRF-like","IPR036879","Transcription factor, MADS-box superfamily","GO:0003677|GO:0046983"
"m.7712.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.26427.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.5.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.21231.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.4085.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.17080.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.14453.p1","PF05044","Homeo-prospero domain","IPR023082","Homeo-prospero domain","GO:0003677"
"m.13165.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.41754.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.12864.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.2265.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.42350.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.22160.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.4557.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.8020.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.11626.p1","PF00447","HSF-type DNA-binding","IPR000232","Heat shock factor (HSF)-type, DNA-binding","GO:0003700|GO:0006355|GO:0043565"
"m.26579.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.15603.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.25994.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.4782.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.31353.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.22805.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.40680.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.29860.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.2031.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.40919.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.21760.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.5397.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.36023.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.35735.p1","PF06881","RNA polymerase II transcription factor SIII (Elongin) subunit A","IPR010684","RNA polymerase II transcription factor SIII, subunit A","GO:0005634|GO:0006368|GO:0070449"
"m.41764.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.8430.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.13953.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.36759.p1","SSF56366","SMAD MH1 domain","IPR036578","SMAD MH1 domain superfamily","GO:0007179"
"m.22022.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.40459.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.8940.p1","PF00105","Zinc finger, C4 type (two domains)","IPR001628","Zinc finger, nuclear hormone receptor-type","GO:0003700|GO:0006355|GO:0008270|GO:0043565"
"m.5987.p1","PF00170","bZIP transcription factor","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.1122.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.32517.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.21491.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.8804.p1","PF00178","Ets-domain","IPR000418","Ets domain","GO:0003700|GO:0006355|GO:0043565"
"m.15505.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.12201.p1","SSF56366","SMAD MH1 domain","IPR036578","SMAD MH1 domain superfamily","GO:0007179"
"m.4732.p1","PF00907","T-box","IPR001699","Transcription factor, T-box","GO:0003700|GO:0006355"
"m.33974.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.12636.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.19024.p1","PF02891","MIZ/SP-RING zinc finger","IPR004181","Zinc finger, MIZ-type","GO:0008270"
"m.916.p1","SSF47413","lambda repressor-like DNA-binding domains","IPR010982","Lambda repressor-like, DNA-binding domain superfamily","GO:0003677"
"m.39435.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.2647.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.37079.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.36861.p1","PF00352","Transcription factor TFIID (or TATA-binding protein, TBP)","IPR000814","TATA-box binding protein","GO:0003677|GO:0006352"
"m.12964.p1","SSF54171","DNA-binding domain","IPR016177","DNA-binding domain superfamily","GO:0003677"
"m.1391.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.28811.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.17411.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.7613.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.10288.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.40802.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.18524.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.352.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.1977.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.42363.p1","PF02892","BED zinc finger","IPR003656","Zinc finger, BED-type","GO:0003677"
"m.1276.p1","PF00105","Zinc finger, C4 type (two domains)","IPR001628","Zinc finger, nuclear hormone receptor-type","GO:0003700|GO:0006355|GO:0008270|GO:0043565"
"m.25157.p1","SSF54518","Tubby C-terminal domain-like","IPR025659","Tubby-like, C-terminal","-"
"m.15285.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.21573.p2","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.1984.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.38787.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.14218.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.39028.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.9855.p1","PF00313","'Cold-shock' DNA-binding domain","IPR002059","Cold-shock protein, DNA-binding","GO:0003676"
"m.248.p1","PF00178","Ets-domain","IPR000418","Ets domain","GO:0003700|GO:0006355|GO:0043565"
"m.39768.p1","PF01754","A20-like zinc finger","IPR002653","Zinc finger, A20-type","GO:0003677|GO:0008270"
"m.83.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.20654.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.15278.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.40345.p2","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.2219.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.21643.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.16281.p1","PF15294","Leucine zipper","IPR026157","Leucine zipper transcription factor-like protein 1","-"
"m.22333.p1","PF00292","'Paired box' domain","IPR001523","Paired domain","GO:0003677|GO:0006355"
"m.7169.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.5354.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.2685.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.20655.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.16238.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.2419.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.24965.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.36980.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.9959.p1","SSF47413","lambda repressor-like DNA-binding domains","IPR010982","Lambda repressor-like, DNA-binding domain superfamily","GO:0003677"
"m.10515.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.11074.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.11909.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.42530.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.6355.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.15574.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.7522.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.10656.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.13456.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.29577.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.24277.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.11591.p1","PF15065","Lysosomal transcription factor, NCU-G1","IPR029382","Lysosomal transcription factor, NCU-G1","-"
"m.3643.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.2933.p1","SSF47413","lambda repressor-like DNA-binding domains","IPR010982","Lambda repressor-like, DNA-binding domain superfamily","GO:0003677"
"m.19364.p1","PF00170","bZIP transcription factor","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.1756.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.3079.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.21163.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.43326.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.2791.p1","PF00105","Zinc finger, C4 type (two domains)","IPR001628","Zinc finger, nuclear hormone receptor-type","GO:0003700|GO:0006355|GO:0008270|GO:0043565"
"m.20507.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.40876.p1","PF00313","'Cold-shock' DNA-binding domain","IPR002059","Cold-shock protein, DNA-binding","GO:0003676"
"m.22661.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.7567.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.16023.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.14572.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.2646.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.2902.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.17169.p1","PF02891","MIZ/SP-RING zinc finger","IPR004181","Zinc finger, MIZ-type","GO:0008270"
"m.2348.p1","PF00178","Ets-domain","IPR000418","Ets domain","GO:0003700|GO:0006355|GO:0043565"
"m.3888.p1","SSF49417","p53-like transcription factors","IPR008967","p53-like transcription factor, DNA-binding","GO:0003700|GO:0006355"
"m.13368.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.4891.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.14376.p1","SSF47459","HLH, helix-loop-helix DNA-binding domain","IPR036638","Helix-loop-helix DNA-binding domain superfamily","GO:0046983"
"m.18785.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.12390.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.15101.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.12227.p1","SSF49417","p53-like transcription factors","IPR008967","p53-like transcription factor, DNA-binding","GO:0003700|GO:0006355"
"m.8745.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.10374.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.1796.p1","PF00382","Transcription factor TFIIB repeat","IPR013150","Transcription factor TFIIB, cyclin-like domain","GO:0017025"
"m.41436.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.2577.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.6115.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.2218.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.17951.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.13183.p1","PF00105","Zinc finger, C4 type (two domains)","IPR001628","Zinc finger, nuclear hormone receptor-type","GO:0003700|GO:0006355|GO:0008270|GO:0043565"
"m.7487.p1","PF00319","SRF-type transcription factor (DNA-binding and dimerisation domain)","IPR002100","Transcription factor, MADS-box","GO:0003677|GO:0046983"
"m.41150.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.37233.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.9400.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.11957.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.2995.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.32515.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.4397.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.9153.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.37246.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.509.p1","PF03131","bZIP Maf transcription factor","IPR004826","Basic leucine zipper domain, Maf-type","GO:0003677|GO:0006355"
"m.24795.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.4602.p1","SSF55021","ACT-like","-","-",""
"m.10362.p1","SSF63763","SAND domain-like","IPR010919","SAND-like domain superfamily","-"
"m.8044.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.43662.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.21572.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.8622.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.15105.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.43682.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.2043.p1","PF00751","DM DNA binding domain","IPR001275","DM DNA-binding domain","GO:0006355|GO:0043565"
"m.18545.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.36286.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.29937.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.23195.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.36690.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.7969.p1","PF01167","Tub family","IPR000007","Tubby, C-terminal","-"
"m.25044.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.33397.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.9576.p1","PF02892","BED zinc finger","IPR003656","Zinc finger, BED-type","GO:0003677"
"m.6998.p1","PF07716","Basic region leucine zipper","IPR004827","Basic-leucine zipper domain","GO:0003700|GO:0006355"
"m.15028.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.3314.p1","PF00250","Forkhead domain","IPR001766","Fork head domain","GO:0003700|GO:0006355|GO:0043565"
"m.687.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.24219.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.711.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.11959.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.39182.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.4682.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.17037.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.3362.p1","PF02045","CCAAT-binding transcription factor (CBF-B/NF-YA) subunit B","IPR001289","Nuclear transcription factor Y subunit A","GO:0003700|GO:0006355"
"m.22807.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.21497.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.2347.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.5439.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.43564.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.19287.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.28692.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.18523.p1","PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","-"
"m.39022.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.16819.p1","PF08711","TFIIS helical bundle-like domain","IPR017923","Transcription factor IIS, N-terminal","GO:0005634"
"m.8988.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.7325.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.14222.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.12788.p1","PF00178","Ets-domain","IPR000418","Ets domain","GO:0003700|GO:0006355|GO:0043565"
"m.2474.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.37005.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.2041.p1","PF00010","Helix-loop-helix DNA-binding domain","IPR011598","Myc-type, basic helix-loop-helix (bHLH) domain","GO:0046983"
"m.37929.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.20760.p1","PF00447","HSF-type DNA-binding","IPR000232","Heat shock factor (HSF)-type, DNA-binding","GO:0003700|GO:0006355|GO:0043565"
"m.12423.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.5143.p1","PF00352","Transcription factor TFIID (or TATA-binding protein, TBP)","IPR000814","TATA-box binding protein","GO:0003677|GO:0006352"
"m.40058.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.6710.p1","SSF46955","Putative DNA-binding domain","IPR009061","Putative DNA-binding domain superfamily","-"
"m.19135.p1","SSF50249","Nucleic acid-binding proteins","IPR012340","Nucleic acid-binding, OB-fold","-"
"m.22840.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.7149.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.6367.p1","PF00046","Homeodomain","IPR001356","Homeobox domain","GO:0003677"
"m.8221.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.42914.p1","SSF46689","Homeodomain-like","IPR009057","Homeobox-like domain superfamily","-"
"m.12945.p1","PF08711","TFIIS helical bundle-like domain","IPR017923","Transcription factor IIS, N-terminal","GO:0005634"
"m.43522.p1","SSF57716","Glucocorticoid receptor-like (DNA-binding domain)","-","-",""
"m.36234.p1","SSF46785","""Winged helix"" DNA-binding domain","IPR036390","Winged helix DNA-binding domain superfamily","-"
"m.14905.p1","PF00352","Transcription factor TFIID (or TATA-binding protein, TBP)","IPR000814","TATA-box binding protein","GO:0003677|GO:0006352"
"m.3253.p1","SSF57667","beta-beta-alpha zinc fingers","IPR036236","Zinc finger C2H2 superfamily","-"
"m.38574.p1","SSF50916","Rap30/74 interaction domains","IPR011039","Transcription Factor IIF, Rap30/Rap74, interaction","GO:0006367"
